Batterimodell,Cykelmärke,Voltage ,Original capacitet,Capacity,Is moped?,Price,Badge,Capacity,Blank,Price,Badge,Capacity,Blank,Price,Badge,OBS Note,Photolink,Productlink,Description,Charger,Note,Discount,Discount reason
EGoing Phlion SR20 36 V,Crescent,36,11.6,11.6,,5 000 kr,FALSE,14 Ah,2,5 800 kr,FALSE,,,,,"För att reparation ska vara möjlig måste cykelns motor gå igång. |Ibland låser sig BMS på denna modell (i cirka 1 fall av 20). Vi vet direkt efteråt om reparationen har lyckats. |Viktigt att veta innan du skickar in batteriet:|Om reparationen misslyckas på grund av låst BMS behöver du köpa ett nytt batteri från en tredjepartshandlare.|Batterilabbet ersätter inte kostnaden för ett eventuellt nytt batteri, och vi säljer inte nya batterier själva.|Skicka endast in batteriet om det har kort räckvidd eller är defekt, och om du accepterar risken att behöva köpa ett nytt på egen hand.",photos/batterier/sr20.webp,sr20,,,"För att reparation ska vara möjlig måste cykelns motor gå igång. |Ibland låser sig BMS på denna modell (i cirka 1 fall av 20). Vi vet direkt efteråt om reparationen har lyckats. |Viktigt att veta innan du skickar in batteriet:|Om reparationen misslyckas på grund av låst BMS behöver du köpa ett nytt batteri från en tredjepartshandlare.|Batterilabbet ersätter inte kostnaden för ett eventuellt nytt batteri, och vi säljer inte nya batterier själva.|Skicka endast in batteriet om det har kort räckvidd eller är defekt, och om du accepterar risken att behöva köpa ett nytt på egen hand.",4 500 kr,Sommarkampanj
Bosch PowerPack (Pakethållare) 36 V,"Batavus, Gazelle, Crescent, Trek",36,11.6,11.6,,5 000 kr,FALSE,14 Ah,3,5 800 kr,FALSE,,,,,"Ibland låser sig BMS på denna modell (i cirka 1 fall av 20). Vi vet direkt efteråt om reparationen har lyckats. |Viktigt att veta innan du skickar in batteriet:|Om reparationen misslyckas på grund av låst BMS behöver du köpa ett nytt batteri från en tredjepartshandlare.|Batterilabbet ersätter inte kostnaden för ett eventuellt nytt batteri, och vi säljer inte nya batterier själva.|Skicka endast in batteriet om det har kort räckvidd eller är defekt, och om du accepterar risken att behöva köpa ett nytt på egen hand.",photos/batterier/bosch_powerpack_2.webp,powerpack-pakethall,"Bosch batteri som är vanligt förkommande bland olika cykelmärken såsom Batavus, Gazelle, Crescent, Trek.",,"Ibland låser sig BMS på denna modell (i cirka 1 fall av 20). Vi vet direkt efteråt om reparationen har lyckats. |Viktigt att veta innan du skickar in batteriet:|Om reparationen misslyckas på grund av låst BMS behöver du köpa ett nytt batteri från en tredjepartshandlare.|Batterilabbet ersätter inte kostnaden för ett eventuellt nytt batteri, och vi säljer inte nya batterier själva.|Skicka endast in batteriet om det har kort räckvidd eller är defekt, och om du accepterar risken att behöva köpa ett nytt på egen hand.",,
Bosch PowerPack (Ram) 36 V,"Batavus, Gazelle, Crescent, Trek, Ortler",36,11.6,11.6,,5 000 kr,FALSE,14 Ah,3,6 400 kr,FALSE,,,,,"Ibland låser sig BMS på denna modell (i cirka 1 fall av 20). Vi vet direkt efteråt om reparationen har lyckats. |Viktigt att veta innan du skickar in batteriet:|Om reparationen misslyckas på grund av låst BMS behöver du köpa ett nytt batteri från en tredjepartshandlare.|Batterilabbet ersätter inte kostnaden för ett eventuellt nytt batteri, och vi säljer inte nya batterier själva.|Skicka endast in batteriet om det har kort räckvidd eller är defekt, och om du accepterar risken att behöva köpa ett nytt på egen hand.","photos/batterier/bosch_powerpack_1_port.webp, photos/batterier/bosch_powerpack_side.webp, photos/batterier/bosch_powerpack_1_standing.webp, photos/batterier/bosch_powerpack_1_back.webp",powerpack-ram,"Bosch batteri som är vanligt förkommande bland olika cykelmärken såsom Batavus, Gazelle, Crescent, Trek.",,"Ibland låser sig BMS på denna modell (i cirka 1 fall av 20). Vi vet direkt efteråt om reparationen har lyckats. |Viktigt att veta innan du skickar in batteriet:|Om reparationen misslyckas på grund av låst BMS behöver du köpa ett nytt batteri från en tredjepartshandlare.|Batterilabbet ersätter inte kostnaden för ett eventuellt nytt batteri, och vi säljer inte nya batterier själva.|Skicka endast in batteriet om det har kort räckvidd eller är defekt, och om du accepterar risken att behöva köpa ett nytt på egen hand.",,
Eco-3/Eco-7/E-motion 36 V,"Marvil, Evobike",36,10,10,,3 500 kr,FALSE,14 Ah,3,4 300 kr,FALSE,21 Ah,,5 000 kr,FALSE,Batteriindikatorn kan inte anslutas efter reparationen. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod.,photos/batterier/evobike_eco3-7etc.webp,evobike-eco-3-7,,,Batteriindikatorn kan inte anslutas efter reparationen. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod.,3 000 kr,Sommarkampanj
MBP/MPS,Yosemite,36,10,10,,3 500 kr,FALSE,15 Ah,3,4 300 kr,FALSE,17.5 Ah,,5 000 kr,FALSE,Detta batteri förekommer främst på cyklar från Biltema och finns i två varianter baserat på laddkontakten:|Standardkontakt: En rund kontakt (2.1x5.5 mm)|Biltemas egen kontakt: En kontakt med flera stift (pins)|Viktigt vid reparation: Om ditt batteri har Biltemas egna kontakt kan du behöva köpa till en ny laddare i samband med reparationen. Eftersom denna variant är ovanlig ingår den nya laddaren inte i reparationspriset.,photos/batterier/yosemite_mbp_mps.webp,mbp-mps,Detta batteri förekommer främst på cyklar från Biltema och finns i två varianter baserat på laddkontakten:|Standardkontakt: En rund kontakt (2.1x5.5 mm)|Biltemas egen kontakt: En kontakt med flera stift (pins)|Viktigt vid reparation: Om ditt batteri har Biltemas egna kontakt kan du behöva köpa till en ny laddare i samband med reparationen. Eftersom denna variant är ovanlig ingår den nya laddaren inte i reparationspriset.,Ny laddare ingår inte,Detta batteri förekommer främst på cyklar från Biltema och finns i två varianter baserat på laddkontakten:|Standardkontakt: En rund kontakt (2.1x5.5 mm)|Biltemas egen kontakt: En kontakt med flera stift (pins)|Viktigt vid reparation: Om ditt batteri har Biltemas egna kontakt kan du behöva köpa till en ny laddare i samband med reparationen. Eftersom denna variant är ovanlig ingår den nya laddaren inte i reparationspriset.,3 000 kr,Sommarkampanj
NIU MQI 48 V,NIU,48,31,35,Moped,7 500 kr,FALSE,45 Ah,3,9 500 kr,FALSE,,,,,,"photos/batterier/niu_mqi_port.webp, photos/batterier/niu_mqi_default.webp",mqi,NIU MQI 48 V mopedbatteri.,,,,
NIU NQI 60 V,NIU,60,26,30,Moped,8 500 kr,FALSE,45 Ah,3,10 500 kr,FALSE,,,,,,"photos/batterier/niu_nqi_old_default.webp, photos/batterier/niu_nqi_old_front.webp, photos/batterier/niu_nqi_zoomed.webp, photos/batterier/nqi_new.webp, ",nqi,"NIU NQI 60 V mopedbatteri. Finns i två olika skal ett äldre och ett nyare (se bilder), vi kan reparera båda till samma pris.",,,,
EGoing Phylion SF-06 36 V,Crescent ,36,11.6,11.6,,3 950 kr,FALSE,14 Ah,3,4 750 kr,FALSE,17.5 Ah,,5 450 kr,FALSE,"Om batteriet har ""Smart BMS (märkt med ett runt klistermärke) fungerar det bara ibland efter reparation. |Har batteriet inte Smart BMS reparerar vi det som vanligt. |Om batteriet har Smart BMS måste du först testa att cykeln fungerar med ett reparerat batteri via följande bytesprocess: |1. Du får ett färdigreparerat batteri av oss för att testa i din cykel. |2. Om det fungerar behåller du det och lämnar ditt gamla batteri i utbyte.|3. Om det inte fungerar lämnar du tillbaka batteriet och betalar ingenting. |Originalladdaren och batteriets LED-indikator slutar att fungera efter reparationen. |Ny laddare ingår i priset. |Batteristatus kontrolleras istället på cykelns display under körning eller på den nya laddarens diod under laddning.",photos/batterier/sf06.webp,sf06,,Ny laddare ingår,"Om batteriet har ""Smart BMS (märkt med ett runt klistermärke) fungerar det bara ibland efter reparation. |Har batteriet inte Smart BMS reparerar vi det som vanligt. |Om batteriet har Smart BMS måste du först testa att cykeln fungerar med ett reparerat batteri via följande bytesprocess: |1. Du får ett färdigreparerat batteri av oss för att testa i din cykel. |2. Om det fungerar behåller du det och lämnar ditt gamla batteri i utbyte.|3. Om det inte fungerar lämnar du tillbaka batteriet och betalar ingenting. |Originalladdaren och batteriets LED-indikator slutar att fungera efter reparationen. |Ny laddare ingår i priset. |Batteristatus kontrolleras istället på cykelns display under körning eller på den nya laddarens diod under laddning.",3 450 kr,Sommarkampanj
Positive Energies ,"Yosemite, Lifebike",36,10,10,,3 500 kr,FALSE,15 Ah,3,4 300 kr,FALSE,20 Ah,,5 000 kr,FALSE,Batteriindikatorn kan inte anslutas efter reparationen. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod.,photos/batterier/positive_energies.webp,positive-energies,Detta batteri har ofta vattenskador. Vi misstänker att vattnet kommer in via indikatorn. Vi tätar indikatorn efter reparation.,,Batteriindikatorn kan inte anslutas efter reparationen. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod.,3 000 kr,Sommarkampanj
Protanium 36 V,"Folkvänlig, Yosemite, Elegance",36,10,10,,3 500 kr,FALSE,14 Ah,3,4 300 kr,FALSE,,,,,Batteriindikatorn kan inte anslutas efter reparationen och kommer inte fungera. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod.,photos/batterier/protanium.webp,protanium,"Protanium batteri, sitter på ett antal olika elcyklar. Detta batteri har ofta vattenskador. Vi misstänker att vattnet kommer in via indikatorn. Vi tätar indikatorn efter reparation.",,Batteriindikatorn kan inte anslutas efter reparationen och kommer inte fungera. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod.,3 000 kr,Sommarkampanj
